Wines,Reviews,Rating,Keywords_count
B Bordicon Blend,1088,4.3,2
Baffonero Maremma Toscana,1682,4.5,1
Barbaresco,24516,4.5,5
Barbaresco Asili,710,4.4,3
Barbaresco Gaiun Martinenga,2298,4.3,3
Barbaresco Rabajà,5469,4.3,3
Barbera d'Alba Vigna Francia,7315,4.3,3
Barolo Arione,259,4.6,2
Barolo Bricco Gattera,2365,4.4,1
Barolo Bricco Rocche,2923,4.4,2
Barolo Brunate,4295,4.3,3
Barolo Bussia,4525,4.4,1
Barolo Bussia Cicala,3346,4.4,2
Barolo Bussia Romirasco,1544,4.5,2
Barolo Cannubi,1801,4.2,2
Barolo Cannubi Boschis,4298,4.4,2
Barolo Cascina Francia,6045,4.5,3
Barolo Cerequio,3839,4.3,3
Barolo Cerretta,1921,4.2,2
Barolo Ciabot Mentin Ginestra,3525,4.3,4
Barolo Enrico VI,3107,4.4,1
Barolo Ginestra Casa Maté,4116,4.4,3
Barolo Ginestra Vigna del Gris,3333,4.3,4
Barolo Le Vigne,5026,4.3,3
Barolo Monprivato,6966,4.4,3
Barolo Monvigliero,1163,4.2,3
Barolo Paiagallo,1917,4.3,2
Barolo Prapò,2450,4.3,1
Barolo Riserva,12663,4.3,3
Barolo Riserva Bricco Boschis Vigna San Giuseppe,4030,4.3,2
Barolo Riserva Cannubi 1752,451,4.5,2
Barolo Riserva Granbussia,1728,4.5,1
Barolo Riserva Leon,948,4.4,1
Barolo Riserva Monfortino,5013,4.7,3
Barolo Riserva Monprivato Cà d'Morissio,588,4.6,1
Barolo Riserva Speciale Granbussia,56,4.5,1
Barolo Riserva Vigna Rionda,3530,4.3,2
Barolo Riserva Villero,803,4.6,2
Barolo Rocche,1615,4.4,1
Barolo Rocche di Castiglione,1272,4.4,2
Barolo Sorì Ginestra,4827,4.3,4
Baron de L Pouilly-Fumé,9002,4.4,2
Barsac (Premier Grand Cru Classé),6028,4.4,3
Barón de Chirel Rioja Reserva,8578,4.4,2
Bassolino di Sopra Brunello di Montalcino,174,4.6,1
Beaune 1er Cru 'Clos des Mouches' Blanc,3093,4.4,2
Beckstoffer To Kalon Vineyard Cabernet Sauvignon,1557,4.6,1
Belle Epoque Brut Champagne,20992,4.5,2
Belles Soeurs Cuvée Pinot Noir,229,4.4,1
Belondrade y Lurton,13567,4.4,2
Ben Ryé Passito di Pantelleria,21351,4.5,2
Beyond the Clouds,4760,4.4,1
Bibbona,5981,4.5,3
Big'd Big Barolo,1148,4.4,1
Blanc,2053,4.3,2
Blanc de Blancs Brut Champagne (Vintage),6400,4.3,2
Blanc de Blancs Brut Champagne Grand Cru,5553,4.4,2
Blanc des Millénaires,5581,4.6,3
Blueline Estate Cabernet Sauvignon,1321,4.5,4
Boal Madeira,1023,4.5,1
Bolgheri Superiore,47939,4.6,5
Bolgheri Superiore Sondraia,12843,4.2,5
Bonnes-Mares Grand Cru,2595,4.5,1
Book 17 XVII,814,4.7,1
Bordeaux,2246,4.3,1
Bramare Malbec Uco Valley,19752,4.4,2
Bramare Marchiori Vineyard Malbec,8713,4.5,1
Bric Dël Fiasc Barolo,4947,4.3,3
Bricco dell'Uccellone Barbera d'Asti,17625,4.3,4
Brunate  Barolo,1289,4.5,2
Brunello di Montalcino,7929,4.3,6
Brunello di Montalcino  Montosoli,6176,4.4,4
Brunello di Montalcino Riserva,1875,4.5,5
Brunello di Montalcino Riserva Madonna del Piano,3506,4.5,4
Brunello di Montalcino Riserva Pian di Conte,1118,4.3,1
Brunello di Montalcino Riserva Pianrosso Santa Caterina d'Oro,1971,4.5,2
Brunello di Montalcino Riserva Vigna Paganelli,7123,4.3,4
Brut Champagne,146377,4.6,5
Brut Champagne (Gold),3874,4.4,2
Brut Cuvée Champagne Rosé,36681,4.4,4
Brut Rosé Champagne,21147,4.4,3
Bual Madeira,187,4.4,1
Buisson Renard,2119,4.3,2
Bâtard-Montrachet Grand Cru,1191,4.6,2
CASK 23 Cabernet Sauvignon,9464,4.6,3
Cabernet - Cabernet,27436,4.3,1
Cabernet Sauvignon,28544,4.4,7
Cabernet Sauvignon (Signature),13730,4.6,3
Cabernet Sauvignon Coeur De Vallée,544,4.6,4
Calcarole Amarone della Valpolicella Classico,2757,4.6,2
Calle Merlot Rosso Veronese,1053,4.4,1
Campo Alla Sughera,888,4.4,1
Campo Inferi Amarone della Valpolicella Classico Riserva,2112,4.6,1
Campo León Amarone della Valpolicella,7778,4.4,1
Campo dei Gigli Amarone della Valpolicella,5050,4.4,1
Campo del Drago Brunello di Montalcino,2854,4.4,1
Campo del Titari Amarone della Valpolicella Classico Riserva,2946,4.6,2
Campogiovanni Brunello di Montalcino Riserva Il Quercione,1107,4.5,1
Campolongo di Torbe Amarone della Valpolicella Classico,4392,4.5,1
Camí Pesseroles,1083,4.5,1
Capellanía Reserva,7314,4.1,2
Capitel Monte Olmi Amarone della Valpolicella Classico Riserva,4229,4.3,1
Carabantes Syrah,4523,4.2,2
Carpathia Heritage,166,4.4,1
Carruades de Lafite Pauillac,13866,4.4,4
Castello della Sala Cervaro della Sala,30203,4.4,3
Castello della Sala Muffato della Sala,6356,4.3,3
Castillo Ygay Gran Reserva Especial Tinto,23170,4.5,4
Cava Celler Batlle,1575,4.3,2
Ca’ del Merlo Rosso Veneto,2198,4.5,4
Cepparello Red,12191,4.3,3
Cerretalto Brunello di Montalcino,5373,4.7,3
Cerretta Barolo Riserva (Vigna Bricco),2065,4.5,2
Chablis Grand Cru 'Valmur',1653,4.5,1
Chafandin,2570,4.2,1
Chambertin Clos de Bèze Grand Cru,331,4.4,1
Chambertin Grand Cru,1293,4.3,2
Chambertin-Clos-de-Beze Grand Cru,611,4.5,1
Chambolle-Musigny,3455,4.3,3
Chambolle-Musigny Les Baudes,525,4.2,1
Chambolle-Musigny Les Cabottes,413,4.4,2
Chambolle-Musigny Premier Cru 'Les Feusselottes',262,4.4,1
Chambolle-Musigny Premier Cru Les Charmes,364,4.4,1
Champ Cain Extra Brut Champagne Grand Cru 'Avize',234,4.4,1
Champagne,1021,4.5,2
Chapelle d'Ausone Saint-Émilion Grand Cru,1086,4.4,2
Chapelle-Chambertin Grand Cru,188,4.5,1
Chardonnay,18694,4.3,1
Charmes-Chambertin Grand Cru,718,4.4,3
Charmes-Chambertin Grand Cru Les Mazoyères,548,4.4,1
Chassagne-Montrachet,3269,4.3,1
Chassagne-Montrachet 1er Cru 'La Maltroie',779,4.3,1
Chassagne-Montrachet 1er Cru 'Morgeot',283,4.4,1
Chassagne-Montrachet Premier Cru Morgeot Marquis de Laguiche ,1640,4.5,1
Chateau Buena Vista Cabernet Sauvignon Napa Valley,13415,4.3,3
Chateauneuf-du-Pape Réserve des Célestins,1633,4.6,2
Chevalier-Montrachet Grand Cru,2340,4.6,3
Chevalier-Montrachet Grand Cru Blanc,1283,4.4,1
Chevalier-Montrachet Grand Cru Les Demoiselles,532,4.4,1
Château Margaux (Premier Grand Cru Classé),45350,4.6,6
Châteauneuf-Du-Pape Cuvée Des Générations Gaston-Philippe,2077,4.4,1
Châteauneuf-du-Pape,38998,4.4,6
Châteauneuf-du-Pape Amiral G,536,4.5,2
Châteauneuf-du-Pape Chaupin,4483,4.2,3
Châteauneuf-du-Pape Réservé Blanc,668,4.4,1
Cinque Autoctoni Collection Limited Release,4281,4.4,1
Cirsion Rioja,3474,4.6,2
Clio,24553,4.5,3
Clos Apalta,23256,4.6,4
Clos Le Léon Dizy Champagne,53,4.5,1
Clos Sainte Hune Riesling Alsace,4106,4.5,4
Clos Vougeot Grand Cru,226,4.4,1
Clos de Bèze Grand Cru,635,4.5,1
Clos de L'Obac,2588,4.4,2
Clos de Tart Grand Cru,214,4.6,1
Clos de Tart Grand Cru Monopole,4948,4.5,2
Clos de Vougeot,608,4.4,2
Clos de Vougeot Grand Cru,467,4.3,1
Clos de la Coulée de Serrant,8365,4.3,3
Clos de la Roche Grand Cru,429,4.4,2
Clos de la Roche Grand Cru Cuvée Vieilles Vignes,2678,4.4,4
Clos des Goisses Champagne,4662,4.5,3
Clos des Lambrays Grand Cru,6431,4.4,3
Clos des Porrets Nuits-Saint-Georges 1er Cru,3063,4.1,3
Clos du Mesnil,2471,4.7,2
Colheita Port,8039,4.2,1
Colheita Porto,741,4.4,1
Colheita Porto Branco,65,4.6,1
Collection,2184,4.7,3
Collina Rionda di Serralunga Barolo,156,4.5,1
Colore Toscana,1415,4.4,3
Comtes de Champagne Blanc de Blancs,27449,4.5,4
Conde de Superunda,3237,4.2,1
Contador Rioja,2240,4.6,3
Conteisa Langhe,2295,4.5,2
Continuum Estate,6949,4.6,4
Corte di Cama Sforzato di Valtellina,3211,4.3,1
Corton Grand Cru 'Clos Rognet',543,4.4,1
Corton-Bressandes Grand Cru,861,4.4,1
Corton-Charlemagne Grand Cru,5755,4.4,3
Corton-Charlemagne Grand Cru Blanc,2453,4.4,2
Cos d'Estournel,43704,4.4,7
Cosimo Varvaglione Collezione Privata Negroamaro del Salento,826,4.3,1
Cosimo Varvaglione Collezione Privata Primitivo di Manduria,5016,4.5,1
Costa Russi (Barbaresco) Langhe,2876,4.6,5
Costasera Amarone della Valpolicella Classico,93397,4.3,5
Coteau de Vernon Condrieu,2015,4.5,2
Cream Tradición Vos 20 Years,623,4.4,1
Cresasso Corvina Veronese,2333,4.2,1
Crescendo,1347,4.3,1
Crichet Pajè Barbaresco,584,4.5,2
Cristal Brut Champagne (Millésimé),42456,4.6,6
Cristal Rosé Brut Champagne (Millésimé),5883,4.6,2
Cristal Vinothèque,426,4.7,1
Croce Del Gal Riserva Amarone della Valpolicella Classico,188,4.6,1
Cuve 38 Blanc de Blancs Champagne (La Réserve Perpétuelle),149,4.6,1
Cuvée Annamaria Clementi (Extra Brut),7928,4.5,2
Cuvée Impériale Châteauneuf-du-Pape,1881,4.3,2
Cuvée Kermesse Rosso,1153,4.2,1
Cuvée Nicolas François Billecart Brut Champagne,6228,4.5,3
Cuvée Risleus Brut Champagne Premier Cru,415,4.4,2
Cuvée des Cadettes Châteauneuf-du-Pape,3283,4.4,4
Cuvée des Enchanteleurs Brut Champagne,1732,4.5,2
Cà Bertoldi Amarone della Valpolicella Classico,3708,4.3,1
Côte Rôtie La Brocarde,278,4.4,1
Côte à Côte Estate,1133,4.4,3
Côte-Rôtie,7177,4.4,6
Côte-Rôtie La Landonne,4068,4.6,5
Côte-Rôtie La Mouline,4380,4.6,5
Côte-Rôtie La Turque,4891,4.6,2
Côtes de Bourg,8249,4.4,5
Côtes du Rhône,8196,4.3,3
Dagromis Barolo,20685,4.3,5
Dalmau Rioja,7868,4.4,2
Darmagi Langhe,3184,4.5,2
De Buris Amarone della Valpolicella Classico Riserva,574,4.7,1
Delicado Cosecha Pedro Ximénez,870,4.4,1
Dolç de L'Obac,440,4.4,1
Dom Ruinart Blanc de Blancs Brut Champagne,18466,4.5,2
Domaine Grand Veneur Châteauneuf-Du-Pape Vieilles Vignes,875,4.3,2
Domaine des Tourettes Hermitage Rouge,3806,4.3,2
Dominus (Christian Moueix),22117,4.5,5
Domus Aurea Cabernet Sauvignon,9603,4.4,3
Don PX Convento Selección,1224,4.7,2
Don PX Selección,326,4.5,1
Douro,6214,4.4,2
Douro Pintas Tinto,4167,4.5,1
Douro Quinta da Manoella VV Tinto,2548,4.3,1
Duemani Cabernet Franc,2339,4.4,1
EABA,151,4.6,3
Echezeaux Grand Cru,338,4.3,2
Eight Years In The Desert,27195,4.4,5
El Carretil,748,4.5,2
El Escolladero,161,4.4,1
Ermitage Ex-Voto,1804,4.4,1
Ermitage l'Ermite Blanc,296,4.5,1
Es Riserva,371,4.5,1
Esporão Private Selection Tinto,12566,4.3,1
Estate Reserve Viognier,257,4.4,1
Eszencia,488,4.7,1
Evenstad Reserve Pinot Noir,11531,4.4,4
FAY Cabernet Sauvignon,10840,4.5,4
Faith,1048,4.5,2
Falletto Barbaresco Asili,3450,4.4,4
Falletto Barbaresco Rabaja,448,4.4,3
Falletto Barolo,1760,4.4,2
Falletto Barolo Le Rocche del Falletto,1883,4.5,2
Falletto Barolo Le Rocche del Falletto Riserva,622,4.6,2
Fanòi Primitivo,695,4.4,1
Fieramonte Amarone della Valpolicella Riserva,315,4.7,1
Finca Altamira Malbec,8093,4.5,3
Finca Bella Vista Malbec,7663,4.5,3
Finca Garbet,573,4.6,1
Finn Pinot Noir,331,4.5,2
Fino La Barajuela,222,4.4,1
Flaccianello della Pieve,21518,4.5,4
Fleur de Miraval Exclusivement Rosé Champagne,304,4.4,1
Flor de Pingus,32932,4.5,5
Fort Ross Seaview Home Field Pinot Noir,483,4.4,2
Fossati Barolo,116,4.5,1
Fusion V,12877,4.4,4
Félix Callejo (Viñedos de la Familia),1341,4.3,1
Gabbro Toscana,921,4.4,1
Gaia & Rey Langhe,5909,4.5,1
Galatrona,7971,4.3,3
Gallina Barbaresco,1017,4.4,1
Gardarèm,1308,4.4,3
Gaudium,7414,4.3,1
Georges De Latour Private Reserve Cabernet Sauvignon,12652,4.4,4
Gevrey Chambertin 1er Cru 'Aux Combottes',1002,4.4,3
Gewürztraminer Lunare,2732,4.3,1
Giallo d'Arles Greco di Tufo,3274,4.3,1
Ginés Liébana Pedro Ximénez,120,4.6,1
Giorgio Bartholomäus,554,4.4,2
Giramonte Toscana,1678,4.4,2
Giunonico Riserva Primitivo di Manduria,460,4.4,1
Gold Series Syrah,477,4.4,2
Gran Corte (VII),15016,4.4,4
Gran Enemigo,18739,4.5,2
Gran Malbec (X),12579,4.3,1
Gran Reserva 890,11347,4.5,3
Gran Reserva Ribera del Duero,2777,4.5,1
Gran Reserva Rioja (Finca Ygay),9595,4.3,3
Gran VU Blend,2773,4.5,1
Grand Siècle Champagne (Grande Cuvée),9824,4.5,2
Grand Vin Pauillac (Premier Grand Cru Classé),38521,4.6,5
Grand Vin de Château Palmer (Grand Cru Classé),29026,4.5,6
Grande Cuvée,28513,4.6,3
Grands-Echezeaux Grand Cru,700,4.4,3
Grands-Échezeaux Grand Cru,544,4.4,1
Grands-Échézeaux Grande Cuvée Vieilles Vignes,449,4.4,1
Grange,24356,4.7,5
Graticciaia,2451,4.4,2
Grenache,34,4.5,1
Guerriero del Mare,3290,4.4,1
Guerriero della Terra,10185,4.4,1
Habemus Lazio Rosso (Etichetta Rossa),298,4.5,2
Harimann Montepulciano d'Abruzzo,1086,4.4,1
Harlan Estate Red,7231,4.7,4
Harlequin,1276,4.7,1
Helichrysum Brunello di Montalcino,1370,4.4,2
Hermitage La Chapelle Rouge,15298,4.3,5
Historical XIXth Century Wine,807,4.4,1
Hohenmorgen G.C,378,4.4,2
Hommage à Jacques Perrin Châteauneuf-du-Pape,6121,4.5,2
Howell Mountain Cabernet Sauvignon,6466,4.5,4
IX Estate Red,2810,4.7,3
Il 'Divasco' Riserva,255,4.4,1
Il Bacca Old Vine Primitivo di Manduria,2933,4.4,2
Il Bricco Barbaresco,2299,4.3,1
Il Pino di Biserno,17566,4.3,4
Il San Lorenzo Bianco,673,4.5,2
Insignia,30674,4.6,5
Interpretación,2760,4.4,3
Ipsus Chianti Classico Gran Selezione,185,4.4,1
Isosceles,18920,4.5,3
Kairos,7364,4.4,2
Kalós Cru Gran Reserva Malbec,3351,4.5,1
Kapnios Aglianico,1134,4.5,1
Kevin Arnold Shiraz,6987,4.2,2
Kupra Marche,637,4.5,1
Kurni Marche,10261,4.6,1
L'Amarone del Maestro Fornaser,1031,4.6,1
L'Apparita,3836,4.4,3
L'Hermitage,8592,4.6,4
La Chapelle de La Mission Haut-Brion Pessac-Léognan,6754,4.2,3
La Cueva del Contador Rioja,4013,4.3,1
La Faraona Bierzo (Corullón),423,4.6,1
La Grande Année Brut Champagne,24646,4.5,4
La Grande Dame Brut Champagne,17474,4.5,2
La Grande Dame Brut Rosé Champagne,1118,4.6,2
La Grande Rue Grand Cru Monopole,1496,4.4,1
La Joie,2285,4.6,3
La Landonne Côte-Rôtie,584,4.5,2
La Mattonara Amarone della Valpolicella Classico Riserva,1196,4.7,1
La Muse,1948,4.5,3
La Nieta,4508,4.6,3
La Piu Belle,13420,4.6,2
La Poza de Ballesteros,987,4.4,1
La Ricolma,1525,4.2,2
La Serra Barolo,1449,4.4,3
La Vina de Corteo,374,4.7,1
Lagrein Riserva Porphyr,5123,4.4,2
Le Bourg Saumur Champigny,1264,4.5,2
Le Désir,1694,4.5,4
Le Mesnil Blanc de Blancs (Cuvée S) Brut Champagne,9564,4.7,2
Le Petit Cheval Bordeaux Blanc,782,4.4,2
Le Petit Mouton de Mouton Rothschild Pauillac,8214,4.4,2
Le Serre Nuove,50411,4.3,5
Les Beaux Monts Vosne-Romanée 1er Cru,787,4.4,1
Les Bessards Hermitage,1515,4.4,4
Les Blanchiens Brut Nature Champagne Premier Cru,590,4.4,1
Les Clos Chablís Grand Cru,1750,4.5,1
Les Grandes Places Côte-Rôtie,1316,4.4,2
Les Manyes,924,4.4,2
Les Noisetiers,7035,4.4,1
Les Pavots,4010,4.6,3
Les Poyeux Saumur Champigny,2005,4.5,2
Les Ruchons Sancerre Blanc,269,4.4,1
Les Sentiers Chambolle-Musigny 1er Cru,1253,4.4,1
Ligne de Crete Les Grandes Vignes Hermitage,76,4.7,1
Lilium Est Amarone Della Valpolicella Riserva,733,4.5,1
Limited Edition 10 Vendemmie,9453,4.5,2
Lindaflor Blend,3550,4.3,2
Linticlarus Lagrein Riserva,1387,4.2,1
Lion Tamer Napa Valley Red Blend,4981,4.3,3
Lithology Cabernet Sauvignon,148,4.6,1
Lodovico,3860,4.6,3
Lot 1,226,4.4,1
Luce,17470,4.4,3
Luce Brunello di Montalcino,6544,4.5,4
Luminaria Primitivo di Manduria,563,4.4,2
Lupi Rezerva,7604,4.5,1
Lupi e Sirene Riserva,1292,4.5,2
Lupicaia,4414,4.4,2
Lux Vitis,530,4.5,1
MV,4763,4.5,2
MV Rosé,588,4.5,1
Macán,14368,4.4,3
Macán Clásico,16525,4.3,4
Madonna delle Grazie Brunello di Montalcino,2747,4.5,1
Maggiarino Vino Nobile di Montepulciano,555,4.3,1
Magma,748,4.5,2
Mai The First A.Montes Malbec,6379,4.4,2
Malbec,33640,4.2,2
Malbec Argentino,47435,4.4,4
Malleolus,34630,4.3,2
Malleolus de Sanchomartin,3655,4.6,5
Margaux (Grand Cru Classé),15699,4.2,5
Maria Adelaide Barbaresco,501,4.3,1
Maya,1570,4.6,2
Mazis-Chambertin Grand Cru,1121,4.4,2
Mazis-Chambertin Grand Cru Cuvée Madeleine Collignon,1016,4.4,2
Mazzano Amarone Della Valpolicella Classico,3276,4.5,1
Memorias,15980,4.3,1
Mendoza,19849,4.4,4
Merlot,1922,4.4,1
Merlot (Signature),2312,4.3,3
Messorio,5514,4.5,3
Meursault 1er Cru 'Les Genevrières',606,4.3,1
Mille E Una Notte,15865,4.3,2
Millecento Brunello di Montalcino Riserva,1364,4.6,1
Minami,246,4.4,1
Miserere,1392,4.3,3
Moncerbal Bierzo (Corullón),1090,4.3,1
Mongovone Barbera d'Asti Superiore,2771,4.3,1
Monte Bello,11978,4.5,3
Montefico Barbaresco Vecchie Viti,581,4.4,2
Montelìg,2905,4.4,1
Montepulciano d'Abruzzo,10110,4.2,3
Montrachet Grand Cru,516,4.7,2
Montrachet Grand Cru Blanc,700,4.5,2
Montrachet Grand Cru Marquis de Laguiche,1970,4.6,2
Morey-Saint-Denis Tres Girard,339,4.4,2
Mossone,892,4.4,1
Museum Collection White,297,4.4,2
Musigny Grand Cru,739,4.6,2
Musigny Grand Cru (Cuveé Vieilles Vignes),3533,4.6,2
N.P.U. Extra Brut Champagne (Nec Plus Ultra),1482,4.5,3
Nebro Ribera del Duero,647,4.4,1
Nebukadnesar,3609,4.4,1
Negru de Purcari Limited Edition,970,4.5,1
Nettare Veneto Bianco,87,4.6,1
Nicolás Catena Zapata,28227,4.4,5
Nine Popes,2118,4.3,3
Nosotros Single Vineyard Nómade,9995,4.6,2
Nuits-Saint-Georges,257,4.4,1
Nuits-Saint-Georges 1er Cru 'Aux Thorey',543,4.4,1
Nuits-Saint-Georges 1er Cru Les Damodes,793,4.1,1
Octavius Amarone della Valpolicella Riserva,450,4.6,1
Old Vines Malbec,667,4.2,2
Old Vines Primitivo di Manduria,20904,4.4,1
One Point Five Cabernet Sauvignon,16341,4.5,6
One Sixteen Chardonnay,1753,4.4,1
Opus One,77053,4.6,5
Oreno Toscana,12407,4.3,3
Ornato Barolo,5469,4.4,3
Overture,16804,4.5,4
P2 Plénitude Brut Champagne,7543,4.7,2
Pajè Barbaresco,1910,4.3,2
Palazzi Rosso Toscana,961,4.4,1
Paleo Rosso,10940,4.4,5
Palo Cortado Tradición Vors 30 Years Sherry,1050,4.4,2
Papillon,30682,4.5,3
Paralupi Appassimento,575,4.4,1
Pauillac (Grand Cru Classé),47234,4.4,6
Pauillac (Premier Grand Cru Classé),39283,4.6,6
Pavillon Rouge du Château Margaux,16401,4.4,3
Pedro Ximenez Tradición 20 Years Old Vos,954,4.5,1
Pegrandi Amarone della Valpolicella Classico,1833,4.4,1
Per Sempre Syrah Toscana,711,4.5,2
Percarlo,4808,4.3,1
Perpetual,3809,4.3,3
Pessac-Léognan (Grand Cru Classé de Graves),25444,4.3,6
Pessac-Léognan (Premier Grand Cru Classé),39605,4.6,6
Pessac-Léognan Blanc (Grand Cru Classé de Graves),1206,4.5,2
Peña Lobera,234,4.4,1
Pian delle Vigne Brunello di Montalcino,31363,4.3,4
Pian delle Vigne Vignaferrovia Brunello di Montalcino Riserva,2165,4.5,1
Pietradonice,2266,4.3,3
Pietro Dal Cero Amarone della Valpolicella,6424,4.5,3
Pieve Santa Restituta Brunello di Montalcino,21867,4.4,3
Pieve Santa Restituta Rennina Brunello di Montalcino,3393,4.5,3
Pieve Santa Restituta Sugarille Brunello di Montalcino,3717,4.5,1
Pignan Châteauneuf-du-Pape Réserve Rouge,1881,4.6,1
Pingus,6013,4.6,2
Pinotage,2063,4.4,3
Piovesole Amarone della Valpolicella Classico,868,4.3,1
Platinum,883,4.3,1
Pochi Filagn Barbera d'Alba,410,4.2,1
Poggio Al Vento Brunello di Montalcino Riserva,4542,4.4,2
Poggio Alle Nane Maremma Toscana,3509,4.4,1
Poggio all'Oro Brunello di Montalcino Riserva,7033,4.5,1
Pomerol,10374,4.4,5
Predappio Massera,161,4.4,1
Preta Cuvée David Booth Grande Reserva,1507,4.3,1
Primitivo di Manduria,2011,4.2,1
Puligny-Montrachet,4548,4.3,2
Puligny-Montrachet 1er Cru 'La Garenne',442,4.4,1
Puligny-Montrachet 1er Cru 'Les Champs Gains',429,4.4,1
Puligny-Montrachet Enseignères,941,4.3,2
Puligny-Montrachet Premier Cru ' Clos de la Truffière',475,4.4,1
Puligny-Montrachet Premier Cru Champ-Canet,1020,4.4,2
Puligny-Montrachet Premier Cru La Garenne,200,4.5,1
Puligny-Montrachet Premier Cru Les Combettes,582,4.4,1
Pur Sang,3634,4.3,3
Quarz Sauvignon,8884,4.4,3
Quinta da Leda Douro,14197,4.4,2
Quiñon de Valmira,377,4.6,1
R.D Extra Brut Champagne (Récemment Dégorgé),7737,4.6,3
RWT Bin 798 Shiraz,1975,4.4,4
Rapture Cabernet Sauvignon,2117,4.3,3
Recioto della Valpolicella Classico,1045,4.7,1
Red,1297,4.1,4
Red Blend,457,4.5,1
Redigaffi Toscana,5212,4.5,5
Relentless,6633,4.5,5
Reserva Particular de Recaredo Gran Reserva Brut Nature,923,4.4,3
Reserva Ribera del Duero,11233,4.3,2
Reserve,1175,4.6,1
Reserve Pinotage,1891,4.4,1
Ribera del Duero,69278,4.5,5
Ribera del Duero Prestigio,2994,4.4,2
Ribera del Duero Reserva,37394,4.3,3
Ribolla Gialla,7018,4.3,5
Richebourg Grand Cru,1296,4.5,2
Rioja 150 Aniversario,4642,4.2,1
Rioja Blanco Reserva,361,4.4,2
Rioja Reserva,13544,4.4,3
Rioja Reserva 10 Años Después Edición Limitada,1093,4.4,2
Riserva Nova Domus Terlaner,5250,4.3,1
Riserva vecchie viti dei Capalot e delle Brunate Barolo,338,4.5,1
Rocche dell'Annunziata Barolo Riserva,1609,4.5,2
Rocche dell'Annunziata Torriglione Barolo,1222,4.5,2
Rocche di Castiglione Barolo,2397,4.3,1
Roccolo Ludwig Barth von Barthenau,155,4.4,1
Roda I Reserva Rioja,22749,4.4,3
Romanée-Saint-Vivant Grand Cru (Marey-Monge),6597,4.7,2
Rosé,3605,4.6,2
Rosé Brut Champagne Grand Cru 'Ambonnay',1782,4.4,1
Royal St Robert Cuvée Pinot Noir,2099,4.3,1
Rubicon,6421,4.6,3
Rujno Rosso,532,4.5,1
Rutherford,16322,4.6,6
Réserve Côtes-du-Rhône,4027,4.4,3
Réservé Châteauneuf-du-Pape,297,4.4,1
S.L.V. Cabernet Sauvignon,6560,4.5,3
Saffredi,10499,4.4,4
Saint-Emilion Grand Cru (Premier Grand Cru Classé),1986,4.4,3
Saint-Estèphe (Grand Cru Classé),35624,4.3,6
